time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-20T17:57:57.773Z,69.3918,-144.1507,10,2.8,ml,,,,0.78,ak,ak20125585,2018-08-20T18:03:49.239Z,"85km SSW of Kaktovik, Alaska",earthquake,,2.6,,,automatic,ak,ak
2018-08-20T17:57:12.180Z,33.5066667,-116.7971667,4.31,0.44,ml,21,62,0.006279,0.09,ci,ci38254040,2018-08-20T18:33:46.742Z,"10km NE of Aguanga, CA",earthquake,0.17,0.23,0.138,7,reviewed,ci,ci
2018-08-20T17:48:43.410Z,32.9065,-116.3353333,8.26,1.45,ml,28,80,0.07458,0.19,ci,ci38254024,2018-08-20T18:12:15.130Z,"20km ENE of Pine Valley, CA",earthquake,0.31,0.79,0.18,30,reviewed,ci,ci
2018-08-20T17:47:07.970Z,35.9956,139.9757,57.89,4.2,mb,,161,1.533,0.79,us,us1000ge66,2018-08-21T02:04:57.843Z,"2km SSW of Mitsukaido, Japan",earthquake,4.9,10.7,0.236,5,reviewed,us,us
2018-08-20T17:44:47.330Z,33.5008333,-116.7958333,3.85,0.77,ml,27,40,0.01211,0.15,ci,ci38254016,2018-08-20T18:12:20.840Z,"9km NE of Aguanga, CA",earthquake,0.19,0.52,0.135,25,reviewed,ci,ci
2018-08-20T17:43:21.966Z,68.7489,-147.5423,0,1.2,ml,,,,0.6,ak,ak20125582,2018-08-20T17:46:17.490Z,"107km NW of Arctic Village, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-08-20T17:41:07.050Z,33.501,-116.7971667,3.52,1.11,ml,48,30,0.01165,0.17,ci,ci38254008,2018-08-20T18:13:26.600Z,"9km NE of Aguanga, CA",earthquake,0.17,0.42,0.141,27,reviewed,ci,ci
2018-08-20T17:28:18.641Z,69.5269,-144.0647,0,2.3,ml,,,,0.76,ak,ak20125119,2018-08-20T17:34:30.294Z,"69km SSW of Kaktovik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-08-20T17:25:23.120Z,33.5015,-116.7935,3.86,0.44,ml,16,108,0.01226,0.07,ci,ci38253976,2018-08-20T22:15:53.268Z,"9km NE of Aguanga, CA",earthquake,0.17,0.34,0.047,7,reviewed,ci,ci
2018-08-20T17:20:05.070Z,47.3555,-122.8336667,49.06,0.92,ml,9,75,0.1949,0.06,uw,uw61420451,2018-08-20T20:34:04.360Z,"3km S of Allyn, Washington",earthquake,0.29,0.61,0.149,5,reviewed,uw,uw
2018-08-20T17:19:45.932Z,69.3085,-143.592,0.8,2.8,ml,,,,0.78,ak,ak20125114,2018-08-20T17:32:48.817Z,"91km S of Kaktovik, Alaska",earthquake,,2.6,,,automatic,ak,ak
2018-08-20T17:19:29.580Z,35.2103333,-118.6813333,7.42,2,ml,35,36,0.02157,0.13,ci,ci38253968,2018-08-20T22:14:11.680Z,"13km E of Arvin, CA",earthquake,0.18,0.39,0.269,27,reviewed,ci,ci
